wstd,lr_vanilla,lr_momentum,lr_rmsprop,reg,accuracy
0.01000,0.00001,nan,nan,0.00001,23.36000
0.01000,0.00003,nan,nan,0.00001,28.56000
0.01000,0.00005,nan,nan,0.00001,31.24000
0.01000,0.00007,nan,nan,0.00001,31.00000
0.01000,0.00009,nan,nan,0.00001,34.92000
0.01000,0.00011,nan,nan,0.00001,33.88000
0.01000,0.00013,nan,nan,0.00001,34.92000
0.01000,0.00015,nan,nan,0.00001,34.72000
0.01000,0.00017,nan,nan,0.00001,34.16000
0.01000,0.00019,nan,nan,0.00001,36.16000
0.01000,0.00021,nan,nan,0.00001,33.12000
0.01000,0.00023,nan,nan,0.00001,33.80000
0.01000,0.00026,nan,nan,0.00001,35.44000
0.01000,0.00028,nan,nan,0.00001,33.36000
0.01000,0.00030,nan,nan,0.00001,36.52000
0.01000,0.00032,nan,nan,0.00001,33.32000
0.01000,0.00034,nan,nan,0.00001,34.68000
0.01000,0.00036,nan,nan,0.00001,35.48000
0.01000,0.00038,nan,nan,0.00001,34.64000
0.01000,0.00040,nan,nan,0.00001,33.12000
0.01000,0.00042,nan,nan,0.00001,34.44000
0.01000,0.00044,nan,nan,0.00001,33.96000
0.01000,0.00046,nan,nan,0.00001,34.48000
0.01000,0.00048,nan,nan,0.00001,34.40000
0.01000,0.00050,nan,nan,0.00001,32.48000
0.01000,0.00001,nan,nan,0.00003,23.20000
0.01000,0.00003,nan,nan,0.00003,28.44000
0.01000,0.00005,nan,nan,0.00003,30.60000
0.01000,0.00007,nan,nan,0.00003,31.64000
0.01000,0.00009,nan,nan,0.00003,32.08000
0.01000,0.00011,nan,nan,0.00003,32.60000
0.01000,0.00013,nan,nan,0.00003,34.92000
0.01000,0.00015,nan,nan,0.00003,35.60000
0.01000,0.00017,nan,nan,0.00003,34.32000
0.01000,0.00019,nan,nan,0.00003,33.80000
0.01000,0.00021,nan,nan,0.00003,32.12000
0.01000,0.00023,nan,nan,0.00003,33.00000
0.01000,0.00026,nan,nan,0.00003,35.40000
0.01000,0.00028,nan,nan,0.00003,34.84000
0.01000,0.00030,nan,nan,0.00003,34.32000
0.01000,0.00032,nan,nan,0.00003,34.44000
0.01000,0.00034,nan,nan,0.00003,33.48000
0.01000,0.00036,nan,nan,0.00003,36.60000
0.01000,0.00038,nan,nan,0.00003,35.24000
0.01000,0.00040,nan,nan,0.00003,33.96000
0.01000,0.00042,nan,nan,0.00003,34.12000
0.01000,0.00044,nan,nan,0.00003,33.68000
0.01000,0.00046,nan,nan,0.00003,33.32000
0.01000,0.00048,nan,nan,0.00003,35.64000
0.01000,0.00050,nan,nan,0.00003,34.48000
0.01000,0.00001,nan,nan,0.00005,23.32000
0.01000,0.00003,nan,nan,0.00005,28.32000
0.01000,0.00005,nan,nan,0.00005,31.12000
0.01000,0.00007,nan,nan,0.00005,31.28000
0.01000,0.00009,nan,nan,0.00005,33.48000
0.01000,0.00011,nan,nan,0.00005,32.88000
0.01000,0.00013,nan,nan,0.00005,34.60000
0.01000,0.00015,nan,nan,0.00005,34.56000
0.01000,0.00017,nan,nan,0.00005,33.40000
0.01000,0.00019,nan,nan,0.00005,33.32000
0.01000,0.00021,nan,nan,0.00005,34.36000
0.01000,0.00023,nan,nan,0.00005,33.56000
0.01000,0.00026,nan,nan,0.00005,34.60000
0.01000,0.00028,nan,nan,0.00005,34.84000
0.01000,0.00030,nan,nan,0.00005,35.52000
0.01000,0.00032,nan,nan,0.00005,35.60000
0.01000,0.00034,nan,nan,0.00005,34.84000
0.01000,0.00036,nan,nan,0.00005,34.64000
0.01000,0.00038,nan,nan,0.00005,34.88000
0.01000,0.00040,nan,nan,0.00005,33.76000
0.01000,0.00042,nan,nan,0.00005,33.80000
0.01000,0.00044,nan,nan,0.00005,35.60000
0.01000,0.00046,nan,nan,0.00005,32.24000
0.01000,0.00048,nan,nan,0.00005,34.32000
0.01000,0.00050,nan,nan,0.00005,34.44000
0.01000,0.00001,nan,nan,0.00007,23.40000
0.01000,0.00003,nan,nan,0.00007,28.32000
0.01000,0.00005,nan,nan,0.00007,30.32000
0.01000,0.00007,nan,nan,0.00007,31.36000
0.01000,0.00009,nan,nan,0.00007,34.72000
0.01000,0.00011,nan,nan,0.00007,32.72000
0.01000,0.00013,nan,nan,0.00007,34.80000
0.01000,0.00015,nan,nan,0.00007,34.56000
0.01000,0.00017,nan,nan,0.00007,34.88000
0.01000,0.00019,nan,nan,0.00007,35.08000
0.01000,0.00021,nan,nan,0.00007,33.44000
0.01000,0.00023,nan,nan,0.00007,35.08000
0.01000,0.00026,nan,nan,0.00007,34.76000
0.01000,0.00028,nan,nan,0.00007,34.92000
0.01000,0.00030,nan,nan,0.00007,36.16000
0.01000,0.00032,nan,nan,0.00007,35.64000
0.01000,0.00034,nan,nan,0.00007,34.44000
0.01000,0.00036,nan,nan,0.00007,34.08000
0.01000,0.00038,nan,nan,0.00007,35.20000
0.01000,0.00040,nan,nan,0.00007,34.96000
0.01000,0.00042,nan,nan,0.00007,32.68000
0.01000,0.00044,nan,nan,0.00007,33.96000
0.01000,0.00046,nan,nan,0.00007,34.68000
0.01000,0.00048,nan,nan,0.00007,34.64000
0.01000,0.00050,nan,nan,0.00007,34.16000
0.01000,0.00001,nan,nan,0.00009,23.56000
0.01000,0.00003,nan,nan,0.00009,28.32000
0.01000,0.00005,nan,nan,0.00009,30.32000
0.01000,0.00007,nan,nan,0.00009,31.20000
0.01000,0.00009,nan,nan,0.00009,32.04000
0.01000,0.00011,nan,nan,0.00009,33.52000
0.01000,0.00013,nan,nan,0.00009,34.92000
0.01000,0.00015,nan,nan,0.00009,33.84000
0.01000,0.00017,nan,nan,0.00009,33.44000
0.01000,0.00019,nan,nan,0.00009,34.68000
0.01000,0.00021,nan,nan,0.00009,33.40000
0.01000,0.00023,nan,nan,0.00009,35.64000
0.01000,0.00026,nan,nan,0.00009,34.64000
0.01000,0.00028,nan,nan,0.00009,33.24000
0.01000,0.00030,nan,nan,0.00009,36.20000
0.01000,0.00032,nan,nan,0.00009,35.40000
0.01000,0.00034,nan,nan,0.00009,34.32000
0.01000,0.00036,nan,nan,0.00009,34.24000
0.01000,0.00038,nan,nan,0.00009,34.76000
